IP,Latency (ms),Speed (MB/s)
172.64.82.114,136.85,6.92
172.64.82.114,133.42,5.43
198.41.194.162,137.10,4.71
198.41.194.162,133.65,4.48
198.41.208.15,131.46,4.14
198.41.208.15,136.58,4.09
162.159.140.85,137.64,3.24
162.159.140.85,136.35,2.25
172.64.52.127,136.59,2.04
172.64.52.127,136.43,0.53
162.159.61.183,68.57,10.27
162.159.61.183,63.87,9.80
172.64.91.69,57.88,9.28
172.64.91.69,66.02,8.79
172.64.48.226,66.49,8.24
172.64.48.226,64.25,8.08
162.159.24.131,67.71,8.00
162.159.24.131,68.24,7.87
173.245.49.194,68.44,7.49
173.245.49.194,68.43,6.68
104.26.4.90,104.47,12.98
104.26.4.90,101.89,12.75
162.159.136.89,104.57,12.56
162.159.136.89,102.84,11.33
162.159.58.65,101.29,10.83
162.159.58.65,103.77,10.74
172.64.229.7,104.53,9.88
172.64.229.7,103.46,9.63
104.26.5.134,105.08,9.62
104.26.5.134,101.87,9.60
162.159.137.204,131.75,21.55
162.159.137.204,131.70,17.95
162.159.128.253,131.09,16.76
162.159.128.253,131.53,14.40
104.26.3.162,131.07,14.04
104.26.3.162,129.86,13.24
104.26.8.117,131.85,10.34
104.26.8.117,130.11,8.67
162.159.140.116,130.92,0.14
162.159.140.116,131.93,0.14
104.18.81.19,176.36,3.51
104.18.81.19,176.11,3.51
104.18.89.52,174.86,3.50
104.18.89.52,175.85,3.50
104.18.166.129,176.06,3.50
104.18.166.129,175.76,3.50
198.41.208.224,175.53,3.50
198.41.208.224,176.51,3.49
104.19.148.121,176.25,3.49
104.19.148.121,175.88,3.48
